
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
 7.77778 -0.281124  28.3997 i
 7.9798 -0.281124  30.7182 i
 8.18182 -0.281124  33.1183 i
 8.38384 -0.281124  35.6 i
 8.58586 -0.281124  38.1634 i
 8.78788 -0.281124  40.8083 i
 8.9899 -0.281124  43.5349 i
 9.19192 -0.281124  46.3432 i
 9.39394 -0.281124  49.233 i
 9.59596 -0.281124  52.2045 i
 9.79798 -0.281124  55.2576 i
 10 -0.281124  58.3923 i

# IsoCurve 122, 100 points
# x y z type
-10 -0.200803  142.852 i
-9.79798 -0.200803  138.003 i
-9.59596 -0.200803  133.237 i
-9.39394 -0.200803  128.552 i
-9.19192 -0.200803  123.948 i
-8.9899 -0.200803  119.427 i
-8.78788 -0.200803  114.986 i
-8.58586 -0.200803  110.628 i
-8.38384 -0.200803  106.351 i
-8.18182 -0.200803  102.156 i
-7.9798 -0.200803  98.0423 i
-7.77778 -0.200803  94.0103 i
-7.57576 -0.200803  90.0599 i
-7.37374 -0.200803  86.1912 i
-7.17172 -0.200803  82.404 i
-6.9697 -0.200803  78.6985 i
-6.76768 -0.200803  75.0747 i
-6.56566 -0.200803  71.5324 i
-6.36364 -0.200803  68.0718 i
-6.16162 -0.200803  64.6928 i
-5.9596 -0.200803  61.3954 i
-5.75758 -0.200803  58.1797 i
-5.55556 -0.200803  55.0455 i
-5.35354 -0.200803  51.993 i
-5.15152 -0.200803  49.0221 i
-4.94949 -0.200803  46.1329 i
-4.74747 -0.200803  43.3253 i
-4.54545 -0.200803  40.5993 i
-4.34343 -0.200803  37.9549 i
-4.14141 -0.200803  35.3921 i
-3.93939 -0.200803  32.911 i
-3.73737 -0.200803  30.5115 i
-3.53535 -0.200803  28.1936 i
-3.33333 -0.200803  25.9573 i
-3.13131 -0.200803  23.8027 i
-2.92929 -0.200803  21.7297 i
-2.72727 -0.200803  19.7383 i
-2.52525 -0.200803  17.8285 i
-2.32323 -0.200803  16.0004 i
-2.12121 -0.200803  14.2539 i
-1.91919 -0.200803  12.589 i
-1.71717 -0.200803  11.0057 i
-1.51515 -0.200803  9.50407 i
-1.31313 -0.200803  8.08405 i
-1.11111 -0.200803  6.74566 i
-0.909091 -0.200803  5.48889 i
-0.707071 -0.200803  4.31375 i
-0.505051 -0.200803  3.22023 i
-0.30303 -0.200803  2.20833 i
-0.10101 -0.200803  1.27806 i
 0.10101 -0.200803  0.429414 i
 0.30303 -0.200803 -0.337609 i
 0.505051 -0.200803 -1.02301 i
 0.707071 -0.200803 -1.62678 i
 0.909091 -0.200803 -2.14893 i
 1.11111 -0.200803 -2.58946 i
 1.31313 -0.200803 -2.94836 i
 1.51515 -0.200803 -3.22563 i
 1.71717 -0.200803 -3.42129 i
 1.91919 -0.200803 -3.53532 i
 2.12121 -0.200803 -3.56772 i
 2.32323 -0.200803 -3.5185 i
 2.52525 -0.200803 -3.38765 i
 2.72727 -0.200803 -3.17518 i
 2.92929 -0.200803 -2.88109 i
 3.13131 -0.200803 -2.50537 i
 3.33333 -0.200803 -2.04803 i
 3.53535 -0.200803 -1.50907 i
 3.73737 -0.200803 -0.888474 i
 3.93939 -0.200803 -0.186259 i
 4.14141 -0.200803  0.59758 i
 4.34343 -0.200803  1.46304 i
 4.54545 -0.200803  2.41013 i
 4.74747 -0.200803  3.43884 i
 4.94949 -0.200803  4.54918 i
 5.15152 -0.200803  5.74114 i
 5.35354 -0.200803  7.01473 i
 5.55556 -0.200803  8.36994 i
 5.75758 -0.200803  9.80677 i
 5.9596 -0.200803  11.3252 i
 6.16162 -0.200803  12.9253 i
 6.36364 -0.200803  14.607 i
 6.56566 -0.200803  16.3703 i
 6.76768 -0.200803  18.2153 i
 6.9697 -0.200803  20.1419 i
 7.17172 -0.200803  22.1501 i
 7.37374 -0.200803  24.2399 i
 7.57576 -0.200803  26.4114 i
 7.77778 -0.200803  28.6644 i
 7.9798 -0.200803  30.9991 i
 8.18182 -0.200803  33.4155 i
 8.38384 -0.200803  35.9134 i
 8.58586 -0.200803  38.493 i
 8.78788 -0.200803  41.1542 i
 8.9899 -0.200803  43.897 i
 9.19192 -0.200803  46.7215 i
 9.39394 -0.200803  49.6275 i
 9.59596 -0.200803  52.6152 i
 9.79798 -0.200803  55.6846 i
 10 -0.200803  58.8355 i

# IsoCurve 123, 100 points
# x y z type
-10 -0.120482  141.701 i
-9.79798 -0.120482  136.869 i
-9.59596 -0.120482  132.119 i
-9.39394 -0.120482  127.45 i
-9.19192 -0.120482  122.863 i
-8.9899 -0.120482  118.357 i
-8.78788 -0.120482  113.934 i
-8.58586 -0.120482  109.591 i
-8.38384 -0.120482  105.331 i
-8.18182 -0.120482  101.152 i
-7.9798 -0.120482  97.0542 i
-7.77778 -0.120482  93.0385 i
-7.57576 -0.120482  89.1043 i
-7.37374 -0.120482  85.2518 i
-7.17172 -0.120482  81.4809 i
-6.9697 -0.120482  77.7916 i
-6.76768 -0.120482  74.184 i
-6.56566 -0.120482  70.658 i
-6.36364 -0.120482  67.2136 i
-6.16162 -0.120482  63.8508 i
-5.9596 -0.120482  60.5696 i
-5.75758 -0.120482  57.3701 i
-5.55556 -0.120482  54.2522 i
-5.35354 -0.120482  51.2159 i
-5.15152 -0.120482  48.2613 i
-4.94949 -0.120482  45.3882 i
-4.74747 -0.120482  42.5968 i
-4.54545 -0.120482  39.8871 i
-4.34343 -0.120482  37.2589 i
-4.14141 -0.120482  34.7124 i
-3.93939 -0.120482  32.2475 i
-3.73737 -0.120482  29.8642 i
-3.53535 -0.120482  27.5625 i
-3.33333 -0.120482  25.3425 i
-3.13131 -0.120482  23.2041 i
-2.92929 -0.120482  21.1473 i
-2.72727 -0.120482  19.1721 i
-2.52525 -0.120482  17.2786 i
-2.32323 -0.120482  15.4667 i
-2.12121 -0.120482  13.7364 i
-1.91919 -0.120482  12.0877 i
-1.71717 -0.120482  10.5207 i
-1.51515 -0.120482  9.03528 i
-1.31313 -0.120482  7.63149 i
-1.11111 -0.120482  6.30932 i
-0.909091 -0.120482  5.06878 i
-0.707071 -0.120482  3.90986 i
-0.505051 -0.120482  2.83257 i
-0.30303 -0.120482  1.8369 i
-0.10101 -0.120482  0.922857 i
 0.10101 -0.120482  0.0904364 i
 0.30303 -0.120482 -0.66036 i
 0.505051 -0.120482 -1.32953 i
 0.707071 -0.120482 -1.91708 i
 0.909091 -0.120482 -2.423 i
 1.11111 -0.120482 -2.8473 i
 1.31313 -0.120482 -3.18998 i
 1.51515 -0.120482 -3.45103 i
 1.71717 -0.120482 -3.63045 i
 1.91919 -0.120482 -3.72825 i
 2.12121 -0.120482 -3.74443 i
 2.32323 -0.120482 -3.67898 i
 2.52525 -0.120482 -3.53191 i
 2.72727 -0.120482 -3.30322 i
 2.92929 -0.120482 -2.9929 i
 3.13131 -0.120482 -2.60095 i
 3.33333 -0.120482 -2.12739 i
 3.53535 -0.120482 -1.57219 i
 3.73737 -0.120482 -0.935375 i
 3.93939 -0.120482 -0.216933 i
 4.14141 -0.120482  0.583133 i
 4.34343 -0.120482  1.46482 i
 4.54545 -0.120482  2.42814 i
 4.74747 -0.120482  3.47308 i
 4.94949 -0.120482  4.59964 i
 5.15152 -0.120482  5.80783 i
 5.35354 -0.120482  7.09764 i
 5.55556 -0.120482  8.46907 i
 5.75758 -0.120482  9.92214 i
 5.9596 -0.120482  11.4568 i
 6.16162 -0.120482  13.0731 i
 6.36364 -0.120482  14.7711 i
 6.56566 -0.120482  16.5506 i
 6.76768 -0.120482  18.4118 i
 6.9697 -0.120482  20.3546 i
 7.17172 -0.120482  22.379 i
 7.37374 -0.120482  24.4851 i
 7.57576 -0.120482  26.6728 i
 7.77778 -0.120482  28.9421 i
 7.9798 -0.120482  31.293 i
 8.18182 -0.120482  33.7256 i
 8.38384 -0.120482  36.2397 i
 8.58586 -0.120482  38.8355 i
 8.78788 -0.120482  41.513 i
 8.9899 -0.120482  44.272 i
 9.19192 -0.120482  47.1127 i
 9.39394 -0.120482  50.035 i
 9.59596 -0.120482  53.0389 i
 9.79798 -0.120482  56.1245 i
 10 -0.120482  59.2916 i

# IsoCurve 124, 100 points
# x y z type
-10 -0.0401606  140.564 i
-9.79798 -0.0401606  135.748 i
-9.59596 -0.0401606  131.014 i
-9.39394 -0.0401606  126.361 i
-9.19192 -0.0401606  121.79 i
-8.9899 -0.0401606  117.301 i
-8.78788 -0.0401606  112.894 i
-8.58586 -0.0401606  108.567 i
-8.38384 -0.0401606  104.323 i
-8.18182 -0.0401606  100.16 i
-7.9798 -0.0401606  96.0791 i
-7.77778 -0.0401606  92.0796 i
-7.57576 -0.0401606  88.1616 i
-7.37374 -0.0401606  84.3253 i
-7.17172 -0.0401606  80.5707 i
-6.9697 -0.0401606  76.8976 i
-6.76768 -0.0401606  73.3062 i
-6.56566 -0.0401606  69.7964 i
-6.36364 -0.0401606  66.3682 i
-6.16162 -0.0401606  63.0217 i
-5.9596 -0.0401606  59.7568 i
-5.75758 -0.0401606  56.5735 i
-5.55556 -0.0401606  53.4718 i
-5.35354 -0.0401606  50.4517 i
-5.15152 -0.0401606  47.5133 i
-4.94949 -0.0401606  44.6565 i
-4.74747 -0.0401606  41.8813 i
-4.54545 -0.0401606  39.1878 i
-4.34343 -0.0401606  36.5758 i
-4.14141 -0.0401606  34.0455 i
-3.93939 -0.0401606  31.5969 i
-3.73737 -0.0401606  29.2298 i
-3.53535 -0.0401606  26.9444 i
-3.33333 -0.0401606  24.7406 i
-3.13131 -0.0401606  22.6184 i
-2.92929 -0.0401606  20.5778 i
-2.72727 -0.0401606  18.6189 i
-2.52525 -0.0401606  16.7416 i
-2.32323 -0.0401606  14.9459 i
-2.12121 -0.0401606  13.2318 i
-1.91919 -0.0401606  11.5994 i
-1.71717 -0.0401606  10.0486 i
-1.51515 -0.0401606  8.5794 i
-1.31313 -0.0401606  7.19183 i
-1.11111 -0.0401606  5.88589 i
-0.909091 -0.0401606  4.66158 i
-0.707071 -0.0401606  3.51888 i
-0.505051 -0.0401606  2.45782 i
-0.30303 -0.0401606  1.47837 i
-0.10101 -0.0401606  0.580556 i
 0.10101 -0.0401606 -0.235639 i
 0.30303 -0.0401606 -0.970208 i
 0.505051 -0.0401606 -1.62315 i
 0.707071 -0.0401606 -2.19447 i
 0.909091 -0.0401606 -2.68417 i
 1.11111 -0.0401606 -3.09224 i
 1.31313 -0.0401606 -3.41869 i
 1.51515 -0.0401606 -3.66352 i
 1.71717 -0.0401606 -3.82672 i
 1.91919 -0.0401606 -3.90829 i
 2.12121 -0.0401606 -3.90824 i
 2.32323 -0.0401606 -3.82657 i
 2.52525 -0.0401606 -3.66327 i
 2.72727 -0.0401606 -3.41835 i
 2.92929 -0.0401606 -3.0918 i
 3.13131 -0.0401606 -2.68363 i
 3.33333 -0.0401606 -2.19384 i
 3.53535 -0.0401606 -1.62242 i
 3.73737 -0.0401606 -0.969372 i
 3.93939 -0.0401606 -0.234704 i
 4.14141 -0.0401606  0.581588 i
 4.34343 -0.0401606  1.4795 i
 4.54545 -0.0401606  2.45905 i
 4.74747 -0.0401606  3.52021 i
 4.94949 -0.0401606  4.663 i
 5.15152 -0.0401606  5.88742 i
 5.35354 -0.0401606  7.19345 i
 5.55556 -0.0401606  8.58112 i
 5.75758 -0.0401606  10.0504 i
 5.9596 -0.0401606  11.6013 i
 6.16162 -0.0401606  13.2339 i
 6.36364 -0.0401606  14.948 i
 6.56566 -0.0401606  16.7438 i
 6.76768 -0.0401606  18.6212 i
 6.9697 -0.0401606  20.5802 i
 7.17172 -0.0401606  22.6209 i
 7.37374 -0.0401606  24.7432 i
 7.57576 -0.0401606  26.9471 i
 7.77778 -0.0401606  29.2326 i
 7.9798 -0.0401606  31.5998 i
 8.18182 -0.0401606  34.0485 i
 8.38384 -0.0401606  36.5789 i
 8.58586 -0.0401606  39.191 i
 8.78788 -0.0401606  41.8846 i
 8.9899 -0.0401606  44.6599 i
 9.19192 -0.0401606  47.5168 i
 9.39394 -0.0401606  50.4553 i
 9.59596 -0.0401606  53.4755 i
 9.79798 -0.0401606  56.5773 i
 10 -0.0401606  59.7606 i

# IsoCurve 125, 100 points
# x y z type
-10  0.0401606  139.439 i
-9.79798  0.0401606  134.64 i
-9.59596  0.0401606  129.922 i
-9.39394  0.0401606  125.286 i
-9.19192  0.0401606  120.731 i
-8.9899  0.0401606  116.258 i
-8.78788  0.0401606  111.866 i
-8.58586  0.0401606  107.557 i
-8.38384  0.0401606  103.328 i
-8.18182  0.0401606  99.1818 i
-7.9798  0.0401606  95.1169 i
-7.77778  0.0401606  91.1335 i
-7.57576  0.0401606  87.2319 i
-7.37374  0.0401606  83.4118 i
-7.17172  0.0401606  79.6733 i
-6.9697  0.0401606  76.0165 i
-6.76768  0.0401606  72.4413 i
-6.56566  0.0401606  68.9478 i
-6.36364  0.0401606  65.5358 i
-6.16162  0.0401606  62.2055 i
-5.9596  0.0401606  58.9568 i
-5.75758  0.0401606  55.7897 i
-5.55556  0.0401606  52.7043 i
-5.35354  0.0401606  49.7005 i
-5.15152  0.0401606  46.7783 i
-4.94949  0.0401606  43.9377 i
-4.74747  0.0401606  41.1787 i
-4.54545  0.0401606  38.5014 i
-4.34343  0.0401606  35.9057 i
-4.14141  0.0401606  33.3916 i
-3.93939  0.0401606  30.9592 i
-3.73737  0.0401606  28.6083 i
-3.53535  0.0401606  26.3391 i
-3.33333  0.0401606  24.1515 i
-3.13131  0.0401606  22.0456 i
-2.92929  0.0401606  20.0213 i
-2.72727  0.0401606  18.0785 i
-2.52525  0.0401606  16.2175 i
-2.32323  0.0401606  14.438 i
-2.12121  0.0401606  12.7402 i
-1.91919  0.0401606  11.124 i
-1.71717  0.0401606  9.58937 i
-1.51515  0.0401606  8.13641 i
-1.31313  0.0401606  6.76507 i
-1.11111  0.0401606  5.47536 i
-0.909091  0.0401606  4.26727 i
-0.707071  0.0401606  3.14081 i
-0.505051  0.0401606  2.09597 i
-0.30303  0.0401606  1.13275 i
-0.10101  0.0401606  0.251157 i
 0.10101  0.0401606 -0.54881 i
 0.30303  0.0401606 -1.26715 i
 0.505051  0.0401606 -1.90387 i
 0.707071  0.0401606 -2.45897 i
 0.909091  0.0401606 -2.93244 i
 1.11111  0.0401606 -3.32428 i
 1.31313  0.0401606 -3.6345 i
 1.51515  0.0401606 -3.8631 i
 1.71717  0.0401606 -4.01008 i
 1.91919  0.0401606 -4.07542 i
 2.12121  0.0401606 -4.05915 i
 2.32323  0.0401606 -3.96125 i
 2.52525  0.0401606 -3.78172 i
 2.72727  0.0401606 -3.52058 i
 2.92929  0.0401606 -3.1778 i
 3.13131  0.0401606 -2.7534 i
 3.33333  0.0401606 -2.24738 i
 3.53535  0.0401606 -1.65974 i
 3.73737  0.0401606 -0.990467 i
 3.93939  0.0401606 -0.239572 i
 4.14141  0.0401606  0.592947 i
 4.34343  0.0401606  1.50709 i
 4.54545  0.0401606  2.50286 i
 4.74747  0.0401606  3.58025 i
 4.94949  0.0401606  4.73927 i
 5.15152  0.0401606  5.97991 i
 5.35354  0.0401606  7.30217 i
 5.55556  0.0401606  8.70606 i
 5.75758  0.0401606  10.1916 i
 5.9596  0.0401606  11.7587 i
 6.16162  0.0401606  13.4075 i
 6.36364  0.0401606  15.1379 i
 6.56566  0.0401606  16.9499 i
 6.76768  0.0401606  18.8435 i
 6.9697  0.0401606  20.8188 i
 7.17172  0.0401606  22.8756 i
 7.37374  0.0401606  25.0142 i
 7.57576  0.0401606  27.2343 i
 7.77778  0.0401606  29.536 i
 7.9798  0.0401606  31.9194 i
 8.18182  0.0401606  34.3844 i
 8.38384  0.0401606  36.9311 i
 8.58586  0.0401606  39.5593 i
 8.78788  0.0401606  42.2692 i
 8.9899  0.0401606  45.0607 i
 9.19192  0.0401606  47.9338 i
 9.39394  0.0401606  50.8886 i
 9.59596  0.0401606  53.925 i
 9.79798  0.0401606  57.043 i
 10  0.0401606  60.2426 i

# IsoCurve 126, 100 points
# x y z type
-10  0.120482  138.328 i
-9.79798  0.120482  133.544 i
-9.59596  0.120482  128.843 i
-9.39394  0.120482  124.223 i
-9.19192  0.120482  119.684 i
-8.9899  0.120482  115.227 i
-8.78788  0.120482  110.852 i
-8.58586  0.120482  106.559 i
-8.38384  0.120482  102.347 i
-8.18182  0.120482  98.2162 i
-7.9798  0.120482  94.1675 i
-7.77778  0.120482  90.2004 i
-7.57576  0.120482  86.315 i
-7.37374  0.120482  82.5111 i
-7.17172  0.120482  78.7889 i
-6.9697  0.120482  75.1483 i
-6.76768  0.120482  71.5894 i
-6.56566  0.120482  68.112 i
-6.36364  0.120482  64.7163 i
-6.16162  0.120482  61.4022 i
-5.9596  0.120482  58.1697 i
-5.75758  0.120482  55.0189 i
-5.55556  0.120482  51.9497 i
-5.35354  0.120482  48.9621 i
-5.15152  0.120482  46.0561 i
-4.94949  0.120482  43.2317 i
-4.74747  0.120482  40.489 i
-4.54545  0.120482  37.8279 i
-4.34343  0.120482  35.2484 i
-4.14141  0.120482  32.7506 i
-3.93939  0.120482  30.3344 i
-3.73737  0.120482  27.9998 i
-3.53535  0.120482  25.7468 i
-3.33333  0.120482  23.5754 i
-3.13131  0.120482  21.4857 i
-2.92929  0.120482  19.4776 i
-2.72727  0.120482  17.5511 i
-2.52525  0.120482  15.7063 i
-2.32323  0.120482  13.943 i
-2.12121  0.120482  12.2614 i
-1.91919  0.120482  10.6614 i
-1.71717  0.120482  9.14307 i
-1.51515  0.120482  7.70633 i
-1.31313  0.120482  6.35122 i
-1.11111  0.120482  5.07773 i
-0.909091  0.120482  3.88587 i
-0.707071  0.120482  2.77563 i
-0.505051  0.120482  1.74702 i
-0.30303  0.120482  0.800027 i
-0.10101  0.120482 -0.0653383 i
 0.10101  0.120482 -0.849079 i
 0.30303  0.120482 -1.5512 i
 0.505051  0.120482 -2.17169 i
 0.707071  0.120482 -2.71056 i
 0.909091  0.120482 -3.1678 i
 1.11111  0.120482 -3.54342 i
 1.31313  0.120482 -3.83741 i
 1.51515  0.120482 -4.04979 i
 1.71717  0.120482 -4.18053 i
 1.91919  0.120482 -4.22965 i
 2.12121  0.120482 -4.19715 i
 2.32323  0.120482 -4.08303 i
 2.52525  0.120482 -3.88727 i
 2.72727  0.120482 -3.6099 i
 2.92929  0.120482 -3.2509 i
 3.13131  0.120482 -2.81028 i
 3.33333  0.120482 -2.28803 i
 3.53535  0.120482 -1.68416 i
 3.73737  0.120482 -0.998658 i
 3.93939  0.120482 -0.231537 i
 4.14141  0.120482  0.617208 i
 4.34343  0.120482  1.54758 i
 4.54545  0.120482  2.55957 i
 4.74747  0.120482  3.65319 i
 4.94949  0.120482  4.82843 i
 5.15152  0.120482  6.0853 i
 5.35354  0.120482  7.42379 i
 5.55556  0.120482  8.84391 i
 5.75758  0.120482  10.3456 i
 5.9596  0.120482  11.929 i
 6.16162  0.120482  13.594 i
 6.36364  0.120482  15.3406 i
 6.56566  0.120482  17.1689 i
 6.76768  0.120482  19.0787 i
 6.9697  0.120482  21.0702 i
 7.17172  0.120482  23.1433 i
 7.37374  0.120482  25.298 i
 7.57576  0.120482  27.5344 i
 7.77778  0.120482  29.8524 i
 7.9798  0.120482  32.252 i
 8.18182  0.120482  34.7332 i
 8.38384  0.120482  37.2961 i
 8.58586  0.120482  39.9406 i
 8.78788  0.120482  42.6667 i
 8.9899  0.120482  45.4744 i
 9.19192  0.120482  48.3637 i
 9.39394  0.120482  51.3347 i
 9.59596  0.120482  54.3873 i
 9.79798  0.120482  57.5216 i
 10  0.120482  60.7374 i

# IsoCurve 127, 100 points
# x y z type
-10  0.200803  137.229 i
-9.79798  0.200803  132.462 i
-9.59596  0.200803  127.776 i
-9.39394  0.200803  123.173 i
-9.19192  0.200803  118.65 i
-8.9899  0.200803  114.21 i
-8.78788  0.200803  109.851 i
-8.58586  0.200803  105.573 i
-8.38384  0.200803  101.378 i
-8.18182  0.200803  97.2636 i
-7.9798  0.200803  93.2311 i
-7.77778  0.200803  89.2802 i
-7.57576  0.200803  85.411 i
-7.37374  0.200803  81.6234 i
-7.17172  0.200803  77.9174 i
-6.9697  0.200803  74.293 i
-6.76768  0.200803  70.7503 i
-6.56566  0.200803  67.2892 i
-6.36364  0.200803  63.9097 i
-6.16162  0.200803  60.6118 i
-5.9596  0.200803  57.3956 i
-5.75758  0.200803  54.261 i
-5.55556  0.200803  51.208 i
-5.35354  0.200803  48.2366 i
-5.15152  0.200803  45.3468 i
-4.94949  0.200803  42.5387 i
-4.74747  0.200803  39.8122 i
-4.54545  0.200803  37.1673 i
-4.34343  0.200803  34.6041 i
-4.14141  0.200803  32.1225 i
-3.93939  0.200803  29.7225 i
-3.73737  0.200803  27.4041 i
-3.53535  0.200803  25.1673 i
-3.33333  0.200803  23.0122 i
-3.13131  0.200803  20.9387 i
-2.92929  0.200803  18.9468 i
-2.72727  0.200803  17.0366 i
-2.52525  0.200803  15.2079 i
-2.32323  0.200803  13.4609 i
-2.12121  0.200803  11.7956 i
-1.91919  0.200803  10.2118 i
-1.71717  0.200803  8.70966 i
-1.51515  0.200803  7.28915 i
-1.31313  0.200803  5.95027 i
-1.11111  0.200803  4.69301 i
-0.909091  0.200803  3.51737 i
-0.707071  0.200803  2.42336 i
-0.505051  0.200803  1.41097 i
-0.30303  0.200803  0.480208 i
-0.10101  0.200803 -0.368931 i
 0.10101  0.200803 -1.13645 i
 0.30303  0.200803 -1.82234 i
 0.505051  0.200803 -2.4266 i
 0.707071  0.200803 -2.94924 i
 0.909091  0.200803 -3.39026 i
 1.11111  0.200803 -3.74965 i
 1.31313  0.200803 -4.02742 i
 1.51515  0.200803 -4.22357 i
 1.71717  0.200803 -4.33809 i
 1.91919  0.200803 -4.37098 i
 2.12121  0.200803 -4.32225 i
 2.32323  0.200803 -4.1919 i
 2.52525  0.200803 -3.97992 i
 2.72727  0.200803 -3.68632 i
 2.92929  0.200803 -3.31109 i
 3.13131  0.200803 -2.85424 i
 3.33333  0.200803 -2.31577 i
 3.53535  0.200803 -1.69567 i
 3.73737  0.200803 -0.993947 i
 3.93939  0.200803 -0.210599 i
 4.14141  0.200803  0.654373 i
 4.34343  0.200803  1.60097 i
 4.54545  0.200803  2.62919 i
 4.74747  0.200803  3.73903 i
 4.94949  0.200803  4.9305 i
 5.15152  0.200803  6.2036 i
 5.35354  0.200803  7.55832 i
 5.55556  0.200803  8.99466 i
 5.75758  0.200803  10.5126 i
 5.9596  0.200803  12.1122 i
 6.16162  0.200803  13.7934 i
 6.36364  0.200803  15.5563 i
 6.56566  0.200803  17.4007 i
 6.76768  0.200803  19.3268 i
 6.9697  0.200803  21.3345 i
 7.17172  0.200803  23.4239 i
 7.37374  0.200803  25.5948 i
 7.57576  0.200803  27.8474 i
 7.77778  0.200803  30.1816 i
 7.9798  0.200803  32.5975 i
 8.18182  0.200803  35.0949 i
 8.38384  0.200803  37.674 i
 8.58586  0.200803  40.3347 i
 8.78788  0.200803  43.077 i
 8.9899  0.200803  45.901 i
 9.19192  0.200803  48.8066 i
 9.39394  0.200803  51.7938 i
 9.59596  0.200803  54.8626 i
 9.79798  0.200803  58.0131 i
 10  0.200803  61.2451 i

# IsoCurve 128, 100 points
# x y z type
-10  0.281124  136.143 i
-9.79798  0.281124  131.392 i
-9.59596  0.281124  126.723 i
-9.39394  0.281124  122.136 i
-9.19192  0.281124  117.63 i
-8.9899  0.281124  113.205 i
-8.78788  0.281124  108.862 i
-8.58586  0.281124  104.601 i
-8.38384  0.281124  100.422 i
-8.18182  0.281124  96.3238 i
-7.9798  0.281124  92.3076 i
-7.77778  0.281124  88.3729 i
-7.57576  0.281124  84.5199 i
-7.37374  0.281124  80.7485 i
-7.17172  0.281124  77.0588 i
-6.9697  0.281124  73.4506 i
-6.76768  0.281124  69.9241 i
-6.56566  0.281124  66.4792 i
-6.36364  0.281124  63.116 i
-6.16162  0.281124  59.8343 i
-5.9596  0.281124  56.6343 i
-5.75758  0.281124  53.5159 i
-5.55556  0.281124  50.4791 i
-5.35354  0.281124  47.524 i
-5.15152  0.281124  44.6505 i
-4.94949  0.281124  41.8586 i
-4.74747  0.281124  39.1483 i
-4.54545  0.281124  36.5197 i
-4.34343  0.281124  33.9726 i
-4.14141  0.281124  31.5072 i
-3.93939  0.281124  29.1235 i
-3.73737  0.281124  26.8213 i
-3.53535  0.281124  24.6008 i
-3.33333  0.281124  22.4619 i
-3.13131  0.281124  20.4046 i
-2.92929  0.281124  18.429 i
-2.72727  0.281124  16.5349 i
-2.52525  0.281124  14.7225 i
-2.32323  0.281124  12.9918 i
-2.12121  0.281124  11.3426 i
-1.91919  0.281124  9.77507 i
-1.71717  0.281124  8.28916 i
-1.51515  0.281124  6.88488 i
-1.31313  0.281124  5.56222 i
-1.11111  0.281124  4.32118 i
-0.909091  0.281124  3.16178 i
-0.707071  0.281124  2.08399 i
-0.505051  0.281124  1.08783 i
-0.30303  0.281124  0.173292 i
-0.10101  0.281124 -0.65962 i
 0.10101  0.281124 -1.41091 i
 0.30303  0.281124 -2.08057 i
 0.505051  0.281124 -2.66861 i
 0.707071  0.281124 -3.17503 i
 0.909091  0.281124 -3.59982 i
 1.11111  0.281124 -3.94298 i
 1.31313  0.281124 -4.20453 i
 1.51515  0.281124 -4.38444 i
 1.71717  0.281124 -4.48274 i
 1.91919  0.281124 -4.49941 i
 2.12121  0.281124 -4.43445 i
 2.32323  0.281124 -4.28787 i
 2.52525  0.281124 -4.05967 i
 2.72727  0.281124 -3.74984 i
 2.92929  0.281124 -3.35839 i
 3.13131  0.281124 -2.88531 i
 3.33333  0.281124 -2.33061 i
 3.53535  0.281124 -1.69428 i
 3.73737  0.281124 -0.976332 i
 3.93939  0.281124 -0.176758 i
 4.14141  0.281124  0.70444 i
 4.34343  0.281124  1.66726 i
 4.54545  0.281124  2.71171 i
 4.74747  0.281124  3.83778 i
 4.94949  0.281124  5.04548 i
 5.15152  0.281124  6.3348 i
 5.35354  0.281124  7.70574 i
 5.55556  0.281124  9.15831 i
 5.75758  0.281124  10.6925 i
 5.9596  0.281124  12.3083 i
 6.16162  0.281124  14.0058 i
 6.36364  0.281124  15.7848 i
 6.56566  0.281124  17.6455 i
 6.76768  0.281124  19.5878 i
 6.9697  0.281124  21.6118 i
 7.17172  0.281124  23.7173 i
 7.37374  0.281124  25.9045 i
 7.57576  0.281124  28.1733 i
 7.77778  0.281124  30.5238 i
 7.9798  0.281124  32.9558 i
 8.18182  0.281124  35.4695 i
 8.38384  0.281124  38.0648 i
 8.58586  0.281124  40.7418 i
 8.78788  0.281124  43.5003 i
 8.9899  0.281124  46.3405 i
 9.19192  0.281124  49.2623 i
 9.39394  0.281124  52.2657 i
 9.59596  0.281124  55.3508 i
 9.79798  0.281124  58.5175 i
 10  0.281124  61.7658 i

# IsoCurve 129, 100 points
# x y z type
-10  0.361446  135.07 i
-9.79798  0.361446  130.336 i
-9.59596  0.361446  125.683 i
-9.39394  0.361446  121.111 i
-9.19192  0.361446  116.622 i
-8.9899  0.361446  112.213 i
-8.78788  0.361446  107.887 i
-8.58586  0.361446  103.642 i
-8.38384  0.361446  99.4787 i
-8.18182  0.361446  95.397 i
-7.9798  0.361446  91.397 i
-7.77778  0.361446  87.4786 i
-7.57576  0.361446  83.6418 i
-7.37374  0.361446  79.8866 i
-7.17172  0.361446  76.2131 i
-6.9697  0.361446  72.6212 i
-6.76768  0.361446  69.1109 i
-6.56566  0.361446  65.6822 i
-6.36364  0.361446  62.3352 i
-6.16162  0.361446  59.0697 i
-5.9596  0.361446  55.886 i
-5.75758  0.361446  52.7838 i
-5.55556  0.361446  49.7632 i
-5.35354  0.361446  46.8243 i
-5.15152  0.361446  43.967 i
